CS+ V8.10.00  [06 Jun 2023] [Watch Information]
25 January 2024 15:47:00
Debug Tool :RL78 E2 Lite
Project Name :Metrology NPL SM 3Ph4W Skeleton
Watch, Value, Type(Byte Size), Address, Memo
"'-V_B","-","float [200](800)","0xf90e2",""
"' [0]","-3.562000E+003","float(4)","0xf90e2",""
"' [1]","-3.084000E+003","float(4)","0xf90e6",""
"' [2]","-2.600000E+003","float(4)","0xf90ea",""
"' [3]","-2.118000E+003","float(4)","0xf90ee",""
"' [4]","-1.646000E+003","float(4)","0xf90f2",""
"' [5]","-1.096000E+003","float(4)","0xf90f6",""
"' [6]","5.620000E+003","float(4)","0xf90fa",""
"' [7]","5.294000E+003","float(4)","0xf90fe",""
"' [8]","5.273000E+003","float(4)","0xf9102",""
"' [9]","4.900000E+003","float(4)","0xf9106",""
"' [10]","4.681000E+003","float(4)","0xf910a",""
"' [11]","4.279000E+003","float(4)","0xf910e",""
"' [12]","3.846000E+003","float(4)","0xf9112",""
"' [13]","3.383000E+003","float(4)","0xf9116",""
"' [14]","2.914000E+003","float(4)","0xf911a",""
"' [15]","2.415000E+003","float(4)","0xf911e",""
"' [16]","1.934000E+003","float(4)","0xf9122",""
"' [17]","1.406000E+003","float(4)","0xf9126",""
"' [18]","8.890000E+002","float(4)","0xf912a",""
"' [19]","3.740000E+002","float(4)","0xf912e",""
"' [20]","-1.390000E+002","float(4)","0xf9132",""
"' [21]","-6.420000E+002","float(4)","0xf9136",""
"' [22]","-1.135000E+003","float(4)","0xf913a",""
"' [23]","-1.643000E+003","float(4)","0xf913e",""
"' [24]","-2.133000E+003","float(4)","0xf9142",""
"' [25]","-2.613000E+003","float(4)","0xf9146",""
"' [26]","-3.059000E+003","float(4)","0xf914a",""
"' [27]","-3.495000E+003","float(4)","0xf914e",""
"' [28]","-3.905000E+003","float(4)","0xf9152",""
"' [29]","-4.298000E+003","float(4)","0xf9156",""
"' [30]","-4.633000E+003","float(4)","0xf915a",""
"' [31]","-4.975000E+003","float(4)","0xf915e",""
"' [32]","-5.268000E+003","float(4)","0xf9162",""
"' [33]","-5.519000E+003","float(4)","0xf9166",""
"' [34]","-5.737000E+003","float(4)","0xf916a",""
"' [35]","-5.915000E+003","float(4)","0xf916e",""
"' [36]","-6.052000E+003","float(4)","0xf9172",""
"' [37]","-6.148000E+003","float(4)","0xf9176",""
"' [38]","-6.188000E+003","float(4)","0xf917a",""
"' [39]","-6.196000E+003","float(4)","0xf917e",""
"' [40]","-6.172000E+003","float(4)","0xf9182",""
"' [41]","-6.092000E+003","float(4)","0xf9186",""
"' [42]","-5.964000E+003","float(4)","0xf918a",""
"' [43]","-5.805000E+003","float(4)","0xf918e",""
"' [44]","-5.606000E+003","float(4)","0xf9192",""
"' [45]","-5.368000E+003","float(4)","0xf9196",""
"' [46]","-5.067000E+003","float(4)","0xf919a",""
"' [47]","-4.767000E+003","float(4)","0xf919e",""
"' [48]","-4.412000E+003","float(4)","0xf91a2",""
"' [49]","-4.043000E+003","float(4)","0xf91a6",""
"' [50]","-3.635000E+003","float(4)","0xf91aa",""
"' [51]","-3.213000E+003","float(4)","0xf91ae",""
"' [52]","-2.736000E+003","float(4)","0xf91b2",""
"' [53]","-2.269000E+003","float(4)","0xf91b6",""
"' [54]","-1.788000E+003","float(4)","0xf91ba",""
"' [55]","-1.285000E+003","float(4)","0xf91be",""
"' [56]","-7.680000E+002","float(4)","0xf91c2",""
"' [57]","-2.450000E+002","float(4)","0xf91c6",""
"' [58]","2.680000E+002","float(4)","0xf91ca",""
"' [59]","7.790000E+002","float(4)","0xf91ce",""
"' [60]","1.304000E+003","float(4)","0xf91d2",""
"' [61]","1.811000E+003","float(4)","0xf91d6",""
"' [62]","2.300000E+003","float(4)","0xf91da",""
"' [63]","2.795000E+003","float(4)","0xf91de",""
"' [64]","3.272000E+003","float(4)","0xf91e2",""
"' [65]","3.739000E+003","float(4)","0xf91e6",""
"' [66]","4.156000E+003","float(4)","0xf91ea",""
"' [67]","4.540000E+003","float(4)","0xf91ee",""
"' [68]","4.938000E+003","float(4)","0xf91f2",""
"' [69]","5.271000E+003","float(4)","0xf91f6",""
"' [70]","5.602000E+003","float(4)","0xf91fa",""
"' [71]","5.868000E+003","float(4)","0xf91fe",""
"' [72]","6.141000E+003","float(4)","0xf9202",""
"' [73]","6.349000E+003","float(4)","0xf9206",""
"' [74]","6.524000E+003","float(4)","0xf920a",""
"' [75]","6.659000E+003","float(4)","0xf920e",""
"' [76]","6.753000E+003","float(4)","0xf9212",""
"' [77]","6.783000E+003","float(4)","0xf9216",""
"' [78]","6.781000E+003","float(4)","0xf921a",""
"' [79]","6.755000E+003","float(4)","0xf921e",""
"' [80]","6.665000E+003","float(4)","0xf9222",""
"' [81]","6.551000E+003","float(4)","0xf9226",""
"' [82]","6.389000E+003","float(4)","0xf922a",""
"' [83]","6.188000E+003","float(4)","0xf922e",""
"' [84]","5.948000E+003","float(4)","0xf9232",""
"' [85]","5.669000E+003","float(4)","0xf9236",""
"' [86]","5.351000E+003","float(4)","0xf923a",""
"' [87]","5.010000E+003","float(4)","0xf923e",""
"' [88]","4.630000E+003","float(4)","0xf9242",""
"' [89]","4.220000E+003","float(4)","0xf9246",""
"' [90]","3.788000E+003","float(4)","0xf924a",""
"' [91]","3.357000E+003","float(4)","0xf924e",""
"' [92]","2.864000E+003","float(4)","0xf9252",""
"' [93]","2.373000E+003","float(4)","0xf9256",""
"' [94]","1.884000E+003","float(4)","0xf925a",""
"' [95]","1.357000E+003","float(4)","0xf925e",""
"' [96]","8.320000E+002","float(4)","0xf9262",""
"' [97]","3.170000E+002","float(4)","0xf9266",""
"' [98]","-1.880000E+002","float(4)","0xf926a",""
"' [99]","-7.070000E+002","float(4)","0xf926e",""
"' [100]","-1.192000E+003","float(4)","0xf9272",""
"' [101]","-1.683000E+003","float(4)","0xf9276",""
"' [102]","-2.196000E+003","float(4)","0xf927a",""
"' [103]","-2.635000E+003","float(4)","0xf927e",""
"' [104]","-3.113000E+003","float(4)","0xf9282",""
"' [105]","-3.541000E+003","float(4)","0xf9286",""
"' [106]","-3.959000E+003","float(4)","0xf928a",""
"' [107]","-4.360000E+003","float(4)","0xf928e",""
"' [108]","-4.703000E+003","float(4)","0xf9292",""
"' [109]","-5.021000E+003","float(4)","0xf9296",""
"' [110]","-5.321000E+003","float(4)","0xf929a",""
"' [111]","-5.604000E+003","float(4)","0xf929e",""
"' [112]","-5.806000E+003","float(4)","0xf92a2",""
"' [113]","-5.983000E+003","float(4)","0xf92a6",""
"' [114]","-6.128000E+003","float(4)","0xf92aa",""
"' [115]","-6.232000E+003","float(4)","0xf92ae",""
"' [116]","-6.264000E+003","float(4)","0xf92b2",""
"' [117]","-6.280000E+003","float(4)","0xf92b6",""
"' [118]","-6.239000E+003","float(4)","0xf92ba",""
"' [119]","-6.183000E+003","float(4)","0xf92be",""
"' [120]","-6.063000E+003","float(4)","0xf92c2",""
"' [121]","-5.903000E+003","float(4)","0xf92c6",""
"' [122]","-5.704000E+003","float(4)","0xf92ca",""
"' [123]","-5.466000E+003","float(4)","0xf92ce",""
